; 				LaTeX热键触发表

; 每行用Tab键，最多分出3个字段
; 第1个字段代表LaTex“键”
; 第2个字段代表LaTex对应“Unicode”或“文字描述”
; 第3个字段（如果存在的话）代表LaTex对应“LaTex块”
; 如果第2个字段以:开头，表明只适用于unicode模式. 【这种情况下禁止“第1个字段”在“第2个字段”中完整出现】
; “第1个字段”在“第2个字段”中完整出现，表明只适用于latex助手模式. 【这种情况下禁止如果第2个字段以:开头】



; 下标和上标 https://katex.org/docs/supported.html#line-breaks

\acute	́
\vec	上短箭头 \vec{F}	{Text}\vec{F}##{Left 1}
\breve	̆
\check	̌
\grave	̀
\widetilde	上宽波浪 \widetilde{ac}
\overleftarrow	上宽左箭头 \overleftarrow{AB}
\overrightarrow	上宽右箭头 \overrightarrow{AB}
\underleftarrow	下宽左箭头 \underleftarrow{AB}
\underrightarrow	下宽右箭头 \underrightarrow{AB}
\overleftrightarrow	上宽双箭头 \overleftrightarrow{AB}
\overbrace	上宽花括号 \overbrace{AB}
\underleftrightarrow	下宽双箭头 \underleftrightarrow{AB}
\underbrace	下宽花括号 \underbrace{AB}
\overline	上宽横杠 \overline{AB}
\underline	下宽横杠 \underline{AB}
\widehat	上宽帽 \widehat{ac}


; Unicode数学斜体符号

\mathrm	罗马正体 \mathrm{R}
\mathbf	正粗体 \mathbf{R}
\mathit	意大利斜体 ℝ \mathit{R}
\mathnormal	默认字体 \mathnormal{R}
\textbf	正粗体 \textbf{R}
\textit	意大利斜体 \textit{R}
\textrm	罗马正体 ℝ \textrm{R}
\bf	正粗体 \bf R
\it	意大利斜体 \it R
\rm	罗马正体 \rm R
\bold	加粗 \bold{R}
\textup	直立文本 \textup{R}
\textnormal	默认字体 \textnormal{R}
\boldsymbol	加粗斜体 \boldsymbol{R}
\Bbb	黑板粗体 ℝ \Bbb{R}
\text	等宽字体 \text{R}
\mathsf	无衬线字体 \mathsf{R}
\frak	哥特体 ℜ \frak{R}
\textsf	无衬线字体 \textsf{R}
\mathtt	等宽字体 \mathtt{R}
\sf	无衬线字体 \sf R
\texttt	等宽字体 \texttt{R}
\tt	等宽字体 \tt R
\cal	手写体 𝓡 \cal R
\mathscr	 花体 \mathscr{R}


; \mathbb{x}  用 \mathbbx 代替

\mathbb	黑板粗体 ℝ \mathbb{R}
\mathbba	:𝕒
\mathbbA	:𝔸
\mathbbb	:𝕓
\mathbbB	:𝔹
\mathbbc	:𝕔
\mathbbC	:ℂ
\mathbbd	:𝕕
\mathbbD	:𝔻
\mathbbe	:𝕖
\mathbbE	:𝔼
\mathbbf	:𝕗
\mathbbF	:𝔽
\mathbbg	:𝕘
\mathbbG	:𝔾
\mathbbh	:𝕙
\mathbbH	:ℍ
\mathbbi	:𝕚
\mathbbI	:𝕀
\mathbbj	:𝕛
\mathbbJ	:𝕁
\mathbbk	:𝕜
\mathbbK	:𝕂
\mathbbl	:𝕝
\mathbbL	:𝕃
\mathbbm	:𝕞
\mathbbM	:𝕄
\mathbbn	:𝕟
\mathbbN	:ℕ
\mathbbo	:𝕠
\mathbbO	:𝕆
\mathbbp	:𝕡
\mathbbP	:ℙ
\mathbbq	:𝕢
\mathbbQ	:ℚ
\mathbbr	:𝕣
\mathbbR	:ℝ
\mathbbs	:𝕤
\mathbbS	:𝕊
\mathbbt	:𝕥
\mathbbT	:𝕋
\mathbbu	:𝕦
\mathbbU	:𝕌
\mathbbv	:𝕧
\mathbbV	:𝕍
\mathbbw	:𝕨
\mathbbW	:𝕎
\mathbbx	:𝕩
\mathbbX	:𝕏
\mathbby	:𝕪
\mathbbY	:𝕐
\mathbbz	:𝕫
\mathbbZ	:ℤ
\mathbb0	:𝟘
\mathbb1	:𝟙
\mathbb2	:𝟚
\mathbb3	:𝟛
\mathbb4	:𝟜
\mathbb5	:𝟝
\mathbb6	:𝟞
\mathbb7	:𝟟
\mathbb8	:𝟠
\mathbb9	:𝟡


; \mathfrak{x}  用 \mathfrakx 代替

\mathfrak	哥特体 ℜ \mathfrak{R}
\mathfraka	:𝔞
\mathfrakA	:𝔄
\mathfrakb	:𝔟
\mathfrakB	:𝔅
\mathfrakc	:𝔠
\mathfrakC	:ℭ
\mathfrakd	:𝔡
\mathfrakD	:𝔇
\mathfrake	:𝔢
\mathfrakE	:𝔈
\mathfrakf	:𝔣
\mathfrakF	:𝔉
\mathfrakg	:𝔤
\mathfrakG	:𝔊
\mathfrakh	:𝔥
\mathfrakH	:ℌ
\mathfraki	:𝔦
\mathfrakI	:ℑ
\mathfrakj	:𝔧
\mathfrakJ	:𝔍
\mathfrakk	:𝔨
\mathfrakK	:𝔎
\mathfrakl	:𝔩
\mathfrakL	:𝔏
\mathfrakm	:𝔪
\mathfrakM	:𝔐
\mathfrakn	:𝔫
\mathfrakN	:𝔑
\mathfrako	:𝔬
\mathfrakO	:𝔒
\mathfrakp	:𝔭
\mathfrakP	:𝔓
\mathfrakq	:𝔮
\mathfrakQ	:𝔔
\mathfrakr	:𝔯
\mathfrakR	:ℜ
\mathfraks	:𝔰
\mathfrakS	:𝔖
\mathfrakt	:𝔱
\mathfrakT	:𝔗
\mathfraku	:𝔲
\mathfrakU	:𝔘
\mathfrakv	:𝔳
\mathfrakV	:𝔙
\mathfrakw	:𝔴
\mathfrakW	:𝔚
\mathfrakx	:𝔵
\mathfrakX	:𝔛
\mathfraky	:𝔶
\mathfrakY	:𝔜
\mathfrakz	:𝔷
\mathfrakZ	:ℨ


; \mathcal{x}  用 \mathcalx 代替

\mathcal	手写体 𝓡 \mathcal{R}
\mathcala	:𝓪
\mathcalA	:𝓐
\mathcalb	:𝓫
\mathcalB	:𝓑
\mathcalc	:𝓬
\mathcalC	:𝓒
\mathcald	:𝓭
\mathcalD	:𝓓
\mathcale	:𝓮
\mathcalE	:𝓔
\mathcalf	:𝓯
\mathcalF	:𝓕
\mathcalg	:𝓰
\mathcalG	:𝓖
\mathcalh	:𝓱
\mathcalH	:𝓗
\mathcali	:𝓲
\mathcalI	:𝓘
\mathcalj	:𝓳
\mathcalJ	:𝓙
\mathcalk	:𝓴
\mathcalK	:𝓚
\mathcall	:𝓵
\mathcalL	:𝓛
\mathcalm	:𝓶
\mathcalM	:𝓜
\mathcaln	:𝓷
\mathcalN	:𝓝
\mathcalo	:𝓸
\mathcalO	:𝓞
\mathcalp	:𝓹
\mathcalP	:𝓟
\mathcalq	:𝓺
\mathcalQ	:𝓠
\mathcalr	:𝓻
\mathcalR	:𝓡
\mathcals	:𝓼
\mathcalS	:𝓢
\mathcalt	:𝓽
\mathcalT	:𝓣
\mathcalu	:𝓾
\mathcalU	:𝓤
\mathcalv	:𝓿
\mathcalV	:𝓥
\mathcalw	:𝔀
\mathcalW	:𝓦
\mathcalx	:𝔁
\mathcalX	:𝓧
\mathcaly	:𝔂
\mathcalY	:𝓨
\mathcalz	:𝔃
\mathcalZ	:𝓩


; 批注

\cancel	右斜删除符 \cancel{5}
\bcancel	左斜删除符 \bcancel{5}
\xcancel	叉删除符 \xcancel{ABC}
\boxed	方框符 \boxed{\pi=\frac c d}


; 垂直布局

\stackrel	上标记 \stackrel{!}{=}	{Text}\stackrel{!}{=}##{Left 4}
\overset	上标记 \overset{!}{=}	{Text}\overset{!}{=}##{Left 4}
\underset	下标记 \underset{!}{=}	{Text}\underset{!}{=}##{Left 4}


; 一些块结构

; ##将字符串分成多个部分，每个部分都可设置成不同的“特殊模式”
; 比如: 盲从模式{Blind} 【默认】；原始模式{Raw}； 文本模式{Text}
; https://www.autoahk.com/help/autohotkey/zh-cn/docs/commands/Send.htm#Special_modes

\array	数组 \begin{array} ...	{Text}\begin{array}{cc} a & b \\ c & d \end{array}##{Left 25}
\subarray	上下标数组 \begin{subarray}{l} ...	{Text}\begin{subarray}{l} i \\ j \end{subarray}##{Left 20}
\arraystretch	表格数组 \def\arraystretch{1.5} ...	{Text}\def\arraystretch{1.5}\begin{array}{c:c:c} a & b & c \\ \hline d & e & f \\ \hdashline g & h & i \end{array}##{Left 64}
\matrix	无定界矩阵 \begin{matrix} ...	{Text}\begin{matrix} a & b \\ c & d \end{matrix}##{Left 26}
\pmatrix	圆括号矩阵 \begin{pmatrix} ...	{Text}\begin{pmatrix} a & b \\ c & d \end{pmatrix}##{Left 27}
\bmatrix	方括号矩阵 \begin{bmatrix} ...	{Text}\begin{bmatrix} a & b \\ c & d \end{bmatrix}##{Left 27}
\vmatrix	竖括号矩阵(行列式) \begin{vmatrix} ...	{Text}\begin{vmatrix} a & b \\ c & d \end{vmatrix}##{Left 27}
\Vmatrix	双竖括号矩阵 \begin{Vmatrix} ...	{Text}\begin{Vmatrix} a & b \\ c & d \end{Vmatrix}##{Left 27}
\Bmatrix	花括号矩阵 \begin{Bmatrix} ...	{Text}\begin{Bmatrix} a & b \\ c & d \end{Bmatrix}##{Left 27}
\cases	左条件分支 \begin{cases} ...	{Text}\begin{cases} a &\text{if } b \\ c &\text{if } d \end{cases}##{Left 45}
\align	对齐 begin{align} ...	{Text}\begin{align} a&=b+c \\ d+e&=f \end{align}##{Left 27}
\alignat	紧凑对齐 begin{alignat} ...	{Text}\begin{alignat}{1} 10&x+&3&y=2\\ 3&x+&13&y=4 \end{alignat}##{Left 37}
\gather	居中对齐 begin{gather} ...	{Text}\begin{gather} a=b \\ e=b+c \end{gather}##{Left 24}


; 补全G：可延伸箭头（可加可选参数）
\xleftarrow	上标记左箭头 \xleftarrow{abc}	{Text}\xleftarrow{abc}##{Left 4}
\xrightarrow	上标记右箭头 \xrightarrow{abc}	{Text}\xrightarrow{abc}##{Left 4}
\xtwoheadleftarrow	上标记左二头箭头 \xtwoheadleftarrow{abc}	{Text}\xtwoheadleftarrow{abc}##{Left 4}
\xtwoheadrightarrow	上标记右二头箭头 \xtwoheadrightarrow{abc}	{Text}\xtwoheadrightarrow{abc}##{Left 4}
\xtofrom	上标记往返箭头 \xtofrom{abc}	{Text}\xtofrom{abc}##{Left 4}
\xmapsto	上标记映射箭头 \xmapsto{abc}	{Text}\xmapsto{abc}##{Left 4}
\xlongequal	上标记等号 \xlongequal{abc}	{Text}\xlongequal{abc}##{Left 4}

; 补全J：颜色
\color	颜色切换 \color{blue}	{Text}\color{blue}##{Left 5}
\textcolor	文本颜色 \textcolor{blue}{F=ma}	{Text}\textcolor{blue}{F=ma}##{Left 11}
\colorbox	颜色框 \colorbox{aqua}{text}	{Text}\colorbox{aqua}{text}##{Left 11}
\fcolorbox	边框颜色框 \fcolorbox{red}{aqua}{text}	{Text}\fcolorbox{red}{aqua}{text}##{Left 16}

; 补全K：Bra-ket 括号矢量
\bra	左矢 \bra{\phi}	{Text}\bra{\phi}##{Left 5}
\ket	右矢 \ket{\psi}	{Text}\ket{\psi}##{Left 5}
\braket	内积 \braket{\phi|\psi}	{Text}\braket{\phi|\psi}##{Left 10}
\Bra	左矢 \Bra{\phi}	{Text}\Bra{\phi}##{Left 5}
\Ket	右矢 \Ket{\psi}	{Text}\Ket{\psi}##{Left 5}
\Braket	内积 \Braket{\phi|\psi}	{Text}\Braket{\phi|\psi}##{Left 10}

; 补全L：批注补充
\fbox	方框 \fbox{text}	{Text}\fbox{text}##{Left 5}
\pmb	粗体模拟 \pmb{\mu}	{Text}\pmb{\mu}##{Left 4}
\rule	横线 \rule[6pt]{2ex}{1ex}	{Text}\rule[6pt]{2ex}{1ex}##{Left 14}
\vcenter	垂直居中 \vcenter{\frac{\frac a b}c}	{Text}\vcenter{\frac{\frac a b}c}##{Left 18}


; 补全O：环境（含星号变体）
\aligned	对齐环境 \begin{aligned} a&=b+c \\ d+e&=f \end{aligned}	{Text}\begin{aligned} a&=b+c \\ d+e&=f \end{aligned}##{Left 29}
\alignedat	紧凑对齐 \begin{alignedat}{2} a&=b+c \\ d+e&=f \end{alignedat}	{Text}\begin{alignedat}{2} a&=b+c \\ d+e&=f \end{alignedat}##{Left 31}
\gathered	居中环境 \begin{gathered} a=b \\ e=b+c \end{gathered}	{Text}\begin{gathered} a=b \\ e=b+c \end{gathered}##{Left 26}
\split	拆分环境 \begin{split} a&=b+c \\ &=e+f \end{split}	{Text}\begin{split} a&=b+c \\ &=e+f \end{split}##{Left 26}
\equation	公式环境 \begin{equation} a=b+c \end{equation}	{Text}\begin{equation} a=b+c \end{equation}##{Left 19}
\smallmatrix	小矩阵 \begin{smallmatrix} a & b \\ c & d \end{smallmatrix}	{Text}\begin{smallmatrix} a & b \\ c & d \end{smallmatrix}##{Left 31}
\darray	显示数组 \begin{darray}{cc} a & b \\ c & d \end{darray}	{Text}\begin{darray}{cc} a & b \\ c & d \end{darray}##{Left 26}
\cd	交换图 \begin{CD} A @>a>> B \\ @VbVV @AAcA \\ C @= D \end{CD}	{Text}\begin{CD} A @>a>> B \\ @VbVV @AAcA \\ C @= D \end{CD}##{Left 42}
